Name:,Obj Fn
"n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_200",100024906
"n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_300",100037443
"n_1000_c_100000000_g_2_f_0.1_eps_0.0001_s_100",50014609
"n_1000_c_100000000_g_2_f_0.1_eps_0.0001_s_200",50019718
"n_1000_c_100000000_g_2_f_0.1_eps_0.0001_s_300",50026496
"n_1000_c_100000000_g_2_f_0.1_eps_0.001_s_100",50105091
"n_1000_c_100000000_g_2_f_0.1_eps_0.001_s_200",50109731
"n_1000_c_100000000_g_2_f_0.1_eps_0.001_s_300",50115740
"n_1000_c_100000000_g_2_f_0.1_eps_0.01_s_100",51005377
"n_1000_c_100000000_g_2_f_0.1_eps_0.01_s_200",51009631
"n_1000_c_100000000_g_2_f_0.1_eps_0.01_s_300",51015231
"n_1000_c_100000000_g_2_f_0.1_eps_0.1_s_100",60005039
"n_1000_c_100000000_g_2_f_0.1_eps_0.1_s_200",60009343
"n_1000_c_100000000_g_2_f_0.1_eps_0.1_s_300",60013252
"n_1000_c_100000000_g_2_f_0.1_eps_0_s_100",50004453
"n_1000_c_100000000_g_2_f_0.1_eps_0_s_200",50010253
"n_1000_c_100000000_g_2_f_0.1_eps_0_s_300",50016328
"n_1000_c_100000000_g_2_f_0.1_eps_1e-05_s_100",50005804
"n_1000_c_100000000_g_2_f_0.1_eps_1e-05_s_200",50011492
"n_1000_c_100000000_g_2_f_0.1_eps_1e-05_s_300",50016474
"n_1000_c_100000000_g_2_f_0.2_eps_0.0001_s_100",50019978
"n_1000_c_100000000_g_2_f_0.2_eps_0.0001_s_200",50030190
"n_1000_c_100000000_g_2_f_0.2_eps_0.0001_s_300",50040699
"n_1000_c_100000000_g_2_f_0.2_eps_0.001_s_100",50110800
"n_1000_c_100000000_g_2_f_0.2_eps_0.001_s_200",50120280
"n_1000_c_100000000_g_2_f_0.2_eps_0.001_s_300",50128533
"n_1000_c_100000000_g_2_f_0.2_eps_0.01_s_100",51009335
"n_1000_c_100000000_g_2_f_0.2_eps_0.01_s_200",51021132
"n_1000_c_100000000_g_2_f_0.2_eps_0.01_s_300",51031350
"n_1000_c_100000000_g_2_f_0.2_eps_0.1_s_100",60009917
"n_1000_c_100000000_g_2_f_0.2_eps_0.1_s_200",60021184
"n_1000_c_100000000_g_2_f_0.2_eps_0.1_s_300",60029821
"n_1000_c_100000000_g_2_f_0.2_eps_0_s_100",50009544
"n_1000_c_100000000_g_2_f_0.2_eps_0_s_200",50019736
"n_1000_c_100000000_g_2_f_0.2_eps_0_s_300",50030239
"n_1000_c_100000000_g_2_f_0.2_eps_1e-05_s_100",50011197
"n_1000_c_100000000_g_2_f_0.2_eps_1e-05_s_200",50022430
"n_1000_c_100000000_g_2_f_0.2_eps_1e-05_s_300",50030525
"n_1000_c_100000000_g_2_f_0.3_eps_0.0001_s_100",50025613
"n_1000_c_100000000_g_2_f_0.3_eps_0.0001_s_200",50040648
"n_1000_c_100000000_g_2_f_0.3_eps_0.0001_s_300",50056061
"n_1000_c_100000000_g_2_f_0.3_eps_0.001_s_100",50114782
"n_1000_c_100000000_g_2_f_0.3_eps_0.001_s_200",50129980
